Itau_Unibanco_SA
Date,Open,High,Low,Close,Volume,Adj Close
2016-04-07,29.90,30.25,29.55,29.82,8818000,29.70021
2016-04-06,29.95,30.26,29.32,29.50,10966800,29.3815
2016-04-05,30.15,30.84,29.45,30.37,13475500,30.248
2016-04-04,31.07,31.27,30.18,30.31,10545400,30.18824
2016-04-01,30.75,31.63,30.52,31.41,13932700,31.28382
2016-03-31,31.78,31.89,30.95,31.21,15342500,31.06969
2016-03-30,32.20,32.59,31.89,32.13,12535300,31.98555
2016-03-29,31.80,32.49,31.06,31.95,13214800,31.80636
2016-03-28,32.25,32.32,31.63,31.76,15028700,31.61722
2016-03-25,30.99,30.99,30.99,30.99,000,30.85068
2016-03-24,30.40,31.04,30.40,30.99,9636000,30.85068
2016-03-23,31.83,32.00,30.84,31.32,11668700,31.17919
2016-03-22,33.10,33.10,32.17,32.35,13928500,32.20456
2016-03-21,33.19,33.56,32.56,33.20,14122500,33.05074
2016-03-18,33.04,33.30,32.32,33.19,17122800,33.04079
2016-03-17,32.60,33.48,31.29,33.10,37319400,32.95119
2016-03-16,30.30,30.35,28.64,29.84,27250400,29.70585
2016-03-15,31.00,31.56,30.08,30.75,22395800,30.61176
2016-03-14,32.52,33.20,32.04,32.18,15958700,32.03533
2016-03-11,31.82,32.99,31.79,32.33,15898000,32.18465
2016-03-10,31.59,32.50,30.71,32.06,26701200,31.91587
2016-03-09,32.29,32.69,30.85,30.85,22754600,30.71131
2016-03-08,31.08,32.38,30.82,31.91,19316200,31.76654
2016-03-07,31.35,31.40,30.30,31.21,18311800,31.06969
2016-03-04,29.89,32.44,29.89,31.35,50291200,31.20906
2016-03-03,27.50,29.97,27.49,29.89,41933200,29.75562
2016-03-02,26.60,27.29,26.23,27.20,24419600,27.07772
2016-03-01,25.64,26.58,25.50,26.58,22375900,26.4605
2016-02-29,25.10,25.49,24.80,25.40,21067000,25.27088
2016-02-26,24.87,25.18,24.52,24.70,9415400,24.57444
2016-02-25,24.44,25.14,24.27,24.70,10647900,24.57444
2016-02-24,24.54,24.85,24.15,24.68,10605900,24.55454
2016-02-23,25.03,25.50,24.72,24.89,12145800,24.76347
2016-02-22,24.95,25.40,24.75,25.25,25687500,25.12164
2016-02-19,23.87,24.43,23.76,24.27,12413200,24.14662
2016-02-18,24.88,24.90,24.35,24.64,18648600,24.51474
2016-02-17,25.20,25.86,24.65,25.15,25414200,25.02215
2016-02-16,24.35,25.29,24.16,24.88,19087000,24.75352
2016-02-15,24.79,24.84,24.29,24.29,6558300,24.16652
2016-02-12,24.36,24.42,23.92,24.37,10191700,24.24611
2016-02-11,24.43,24.57,23.91,24.18,10685900,24.05708
2016-02-10,24.48,24.95,24.35,24.92,7310700,24.79332
2016-02-09,24.80,24.80,24.80,24.80,000,24.67393
2016-02-08,24.80,24.80,24.80,24.80,000,24.67393
2016-02-05,24.50,25.14,24.32,24.80,14404200,24.67393
2016-02-04,24.60,25.26,23.81,24.56,22874400,24.43515
2016-02-03,23.79,24.34,23.75,24.21,23112400,24.08692
2016-02-02,24.46,24.50,23.25,23.64,45304400,23.51982
2016-02-01,24.71,25.47,24.45,25.47,11672000,25.34052
2016-01-29,24.10,24.95,24.00,24.95,18526800,24.80824
2016-01-28,23.94,24.07,23.60,23.84,10009700,23.70455
2016-01-27,23.47,24.02,23.23,23.68,14102700,23.54545
2016-01-26,23.05,23.59,22.92,23.59,11152200,23.45597
2016-01-25,23.34,23.34,23.34,23.34,000,23.20739
2016-01-22,23.35,23.65,23.21,23.34,9572400,23.20739
2016-01-21,23.00,23.47,22.95,23.12,17925600,22.98864
2016-01-20,23.00,23.22,22.81,23.07,22340500,22.93892
2016-01-19,24.03,24.17,23.24,23.40,10112400,23.26705
2016-01-18,24.00,24.07,23.64,23.64,6628900,23.50568
2016-01-15,24.10,24.20,23.71,23.92,18386400,23.78409
2016-01-14,24.30,24.58,23.66,24.56,14207500,24.42045
2016-01-13,24.86,25.00,24.06,24.21,11844400,24.07244
2016-01-12,24.80,25.04,24.41,24.59,11020000,24.45028
2016-01-11,24.91,25.03,24.43,24.48,11648300,24.34091
2016-01-08,24.95,25.25,24.77,24.77,10962100,24.62926
2016-01-07,24.90,25.29,24.76,24.76,17434200,24.61932
2016-01-06,25.00,25.83,24.80,25.24,20315500,25.09659
2016-01-05,25.40,25.78,25.08,25.34,12783700,25.19602
2016-01-04,25.92,26.09,25.13,25.13,23073800,24.98722
2016-01-01,26.33,26.33,26.33,26.33,000,26.16548
2015-12-31,26.33,26.33,26.33,26.33,000,26.16548
2015-12-30,26.53,26.53,26.07,26.33,12804100,26.16548
2015-12-29,26.60,26.66,26.28,26.42,7280100,26.25492
2015-12-28,26.55,26.72,26.40,26.40,17093200,26.23505
2015-12-25,26.50,26.50,26.50,26.50,000,26.33442
2015-12-24,26.50,26.50,26.50,26.50,000,26.33442
2015-12-23,27.09,27.09,26.31,26.50,11873000,26.33442
2015-12-22,26.75,26.96,26.30,26.60,16978700,26.4338
2015-12-21,27.10,27.20,26.30,26.43,19499500,26.26486
2015-12-18,27.87,27.97,26.93,26.93,33955000,26.76174
2015-12-17,28.70,29.07,28.46,28.59,12145500,28.41136
2015-12-16,28.05,28.27,27.40,28.11,17819200,27.93436
2015-12-15,28.21,28.81,28.21,28.30,20248000,28.12317
2015-12-14,28.52,28.58,27.91,28.12,12095500,27.9443
2015-12-11,28.51,29.05,28.37,28.80,13611400,28.62005
2015-12-10,28.88,29.09,28.61,28.80,14509200,28.62005
2015-12-09,28.05,29.23,28.02,29.15,28990000,28.76017
2015-12-08,27.96,27.96,27.31,27.65,19659400,27.28023
2015-12-07,28.51,28.70,27.85,27.97,15780900,27.59595
2015-12-04,28.57,28.69,27.70,28.18,17580100,27.80314
2015-12-03,28.30,29.42,28.10,28.82,32461200,28.43458
2015-12-02,27.87,28.05,26.96,27.10,21114000,26.73759
2015-12-01,27.85,28.09,27.42,27.99,13189100,27.61568
2015-11-30,27.40,28.05,27.11,27.79,27729400,27.40356
2015-11-27,28.12,28.22,27.50,27.57,14944000,27.18662
2015-11-26,28.00,28.61,27.90,28.32,10485800,27.92619
2015-11-25,28.75,28.83,27.80,27.91,22725700,27.52189
2015-11-24,29.05,29.36,28.62,29.35,9766000,28.94186
2015-11-23,29.62,29.73,29.15,29.31,13596400,28.90242
2015-11-20,29.32,29.32,29.32,29.32,000,28.91228
2015-11-19,29.00,29.39,28.40,29.32,19256300,28.91228
2015-11-18,28.59,29.08,28.43,28.54,16319400,28.14313
2015-11-17,28.60,29.17,28.45,28.61,14270800,28.21215
2015-11-16,27.76,28.41,27.70,28.41,16907700,28.01494
2015-11-13,28.17,28.25,27.63,27.63,12990500,27.24578
2015-11-12,28.33,28.50,27.93,28.42,11687300,28.0248
2015-11-11,27.84,28.49,27.78,28.34,14353600,27.94591
2015-11-10,27.36,27.59,26.90,27.59,10469100,27.20634
2015-11-09,27.99,28.08,27.34,27.42,10967400,27.0387
2015-11-06,28.50,28.50,27.80,28.14,13217100,27.74869
2015-11-05,28.23,28.60,27.93,28.57,9820900,28.17271
2015-11-04,28.59,28.80,27.97,28.23,18291400,27.83744
2015-11-03,26.70,28.16,26.67,28.16,24996300,27.76841
2015-11-02,26.47,26.47,26.47,26.47,000,26.08712
2015-10-30,26.27,26.52,26.02,26.47,12047700,26.08712
2015-10-29,26.38,27.13,26.00,26.00,16406600,25.62392
2015-10-28,26.58,27.43,26.35,26.73,23709100,26.34336
2015-10-27,26.70,26.87,26.31,26.55,12184000,26.16596
2015-10-26,27.25,27.47,26.60,26.70,12075200,26.3138
2015-10-23,27.85,28.10,27.08,27.10,17475400,26.70801
2015-10-22,26.82,27.36,26.75,27.28,18397500,26.88541
2015-10-21,27.04,27.16,26.50,26.72,14971400,26.3335
2015-10-20,27.65,27.84,26.71,26.92,18311300,26.53061
2015-10-19,26.95,27.55,26.80,27.48,14737000,27.08251
2015-10-16,27.10,27.56,26.70,26.84,20120500,26.45177
2015-10-15,27.83,27.96,26.86,27.25,24016700,26.85584
2015-10-14,27.78,28.27,27.51,27.71,32213000,27.30918
2015-10-13,28.70,28.89,27.66,27.97,26662300,27.56542
2015-10-12,29.55,29.55,29.55,29.55,000,29.12257
2015-10-09,30.19,30.21,28.98,29.55,25162100,29.12257
2015-10-08,29.46,29.87,29.18,29.75,17916600,29.31968
2015-10-07,29.30,30.29,28.86,29.64,25307000,29.21127
2015-10-06,28.30,28.95,28.28,28.82,15996400,28.40313
2015-10-05,28.35,29.00,28.24,28.56,16146500,28.14689
2015-10-02,26.66,27.97,26.55,27.97,19922500,27.56542
2015-10-01,26.50,27.06,26.28,26.88,12524500,26.49119
2015-09-30,26.57,26.70,25.77,26.51,23467100,26.11176
2015-09-29,26.07,26.36,25.87,25.92,12419400,25.53062
2015-09-28,25.83,26.25,25.54,26.03,15949500,25.63897
2015-09-25,27.05,27.29,25.91,26.05,13096300,25.65867
2015-09-24,25.61,26.86,25.20,26.70,29559600,26.29891
2015-09-23,27.44,27.69,26.40,26.40,16045000,26.00341
2015-09-22,26.92,27.71,26.44,27.49,18998700,27.07704
2015-09-21,27.80,28.04,27.02,27.23,15484700,26.82094
2015-09-18,28.60,29.00,27.61,27.85,28361000,27.43163
2015-09-17,28.53,29.51,28.47,28.99,19805200,28.55451
2015-09-16,28.50,29.10,28.40,28.74,24672600,28.30826
2015-09-15,27.38,28.46,27.38,28.27,21903300,27.84532
2015-09-14,26.69,27.61,26.30,27.59,19326600,27.17554
2015-09-11,26.40,26.52,26.15,26.52,18929400,26.12161
2015-09-10,26.00,26.94,26.00,26.47,26813500,26.07236
2015-09-09,27.10,27.75,26.92,27.01,17078800,26.60425
2015-09-08,27.05,27.05,26.61,26.71,10450100,26.30876
2015-09-07,26.42,26.42,26.42,26.42,000,26.02311
2015-09-04,26.88,27.18,26.42,26.42,23586600,26.02311
2015-09-03,26.68,27.54,26.26,27.54,26001300,27.12629
2015-09-02,26.26,26.53,25.84,26.53,12646200,26.13146
2015-09-01,25.92,26.39,25.76,25.92,16759800,25.53062
2015-08-31,26.84,26.92,26.22,26.55,24406500,26.13638
2015-08-28,28.00,28.60,27.22,27.53,16584900,27.10112
2015-08-27,27.62,28.75,27.60,28.34,24284800,27.8985
2015-08-26,26.15,27.37,25.89,27.37,27331800,26.94361
2015-08-25,26.79,26.88,25.65,25.81,25647300,25.40791
2015-08-24,24.99,26.60,24.72,25.86,28060200,25.45713
2015-08-21,26.05,26.74,25.87,26.40,21251000,25.98872
2015-08-20,25.97,26.70,25.82,26.34,17361400,25.92966
2015-08-19,26.51,26.68,25.90,26.28,17078900,25.87059
2015-08-18,26.43,27.68,25.90,26.83,30163700,26.41202
2015-08-17,26.62,27.27,26.39,26.39,13408100,25.97888
2015-08-14,26.87,26.93,26.32,26.67,22791400,26.25451
2015-08-13,27.53,27.60,26.50,26.70,27174500,26.28405
2015-08-12,28.17,28.18,27.46,27.68,26160100,26.90817
2015-08-11,28.50,28.64,28.04,28.50,11552900,27.70531
2015-08-10,28.41,28.77,28.13,28.56,14733300,27.76363
2015-08-07,28.80,29.04,28.05,28.19,15004800,27.40395
2015-08-06,28.99,29.35,28.70,29.04,17059500,28.23025
2015-08-05,29.50,29.77,29.01,29.15,12192000,28.33718
2015-08-04,29.94,29.94,28.91,29.20,27332800,28.38579
2015-08-03,29.90,30.10,29.53,29.92,12981800,29.08571
2015-07-31,29.51,30.08,29.43,30.08,13249000,29.22667
