Date,Open,High,Low,Close,Volume,Adj Close
2016-04-07,16.10,16.15,15.31,15.45,2125100,15.45
2016-04-06,15.86,15.95,15.53,15.87,1598800,15.87
2016-04-05,16.00,16.53,15.85,15.99,2814500,15.99
2016-04-04,16.65,16.65,15.91,16.10,2905500,16.10
2016-04-01,16.77,16.97,16.50,16.76,2904100,16.76
2016-03-31,17.48,17.48,16.58,16.62,7397300,16.62
2016-03-30,21.98004,21.98004,20.73,21.03,2284400,17.525
2016-03-29,21.90,21.96996,21.38004,21.59004,2034700,17.9917
2016-03-28,21.57996,21.93,21.42,21.75996,1563200,18.1333
2016-03-25,21.14004,21.14004,21.14004,21.14004,000,17.6167
2016-03-24,20.91996,21.38004,20.88996,21.14004,1904500,17.6167
2016-03-23,21.78996,21.96,21.00996,21.20004,2093800,17.6667
2016-03-22,22.02,22.14996,21.60996,21.90,1837300,18.25
2016-03-21,21.99996,22.02,21.63,21.90,2111000,18.25
2016-03-18,21.93,22.11,21.17004,21.80004,2807400,18.1667
2016-03-17,20.96004,22.10004,20.82996,21.80004,3157500,18.1667
2016-03-16,19.86996,21.05004,19.50,20.52996,3227400,17.1083
2016-03-15,20.28996,20.31,19.25004,19.70004,2257800,16.4167
2016-03-14,21.65004,21.65004,20.15004,20.31,2576500,16.925
2016-03-11,22.50,22.58004,21.09,21.29004,2965900,17.72341
2016-03-10,22.47996,23.15004,21.84,22.74,3878800,18.93046
2016-03-09,22.10004,22.44,21.75996,22.11996,2759800,18.4143
2016-03-08,21.99996,22.08,21.57,21.92004,2909800,18.24787
2016-03-07,21.93996,21.99996,21.42,21.99996,1898800,18.3144
2016-03-04,20.97,21.62004,20.48004,21.51,3474100,17.90652
2016-03-03,20.73996,21.00,20.18004,20.49996,3598800,17.06569
2016-03-02,20.37996,20.67,19.97004,20.37,3150800,16.9575
2016-03-01,20.00004,20.57004,19.94004,20.18004,3843300,16.79936
2016-02-29,19.71996,20.10,19.64004,19.89,3193300,16.55791
2016-02-26,20.04996,20.28,19.29996,19.47,1606500,16.20827
2016-02-25,19.38,19.85004,19.14996,19.85004,1394400,16.52465
2016-02-24,19.28004,19.47,18.75,19.35996,1217800,16.11667
2016-02-23,19.41996,19.95,19.34004,19.35,1175000,16.10838
2016-02-22,19.44996,19.65,19.07004,19.65,2622400,16.35812
2016-02-19,18.42,19.08996,18.36996,18.90,1443600,15.73376
2016-02-18,18.30,18.69,18.02004,18.69,1877600,15.55894
2016-02-17,18.15,18.65004,17.91,18.41004,2627200,15.32588
2016-02-16,17.60004,18.15,17.60004,18.02004,2085900,15.00122
2016-02-15,17.73996,17.93004,17.54004,17.67,1579000,14.70982
2016-02-12,17.34996,17.64,17.04996,17.39004,1763700,14.47676
2016-02-11,17.40996,17.52,16.71996,17.19,1882000,14.31023
2016-02-10,16.98996,17.60004,16.77996,17.60004,1090600,14.65158
2016-02-09,17.12004,17.12004,17.12004,17.12004,000,14.25199
2016-02-08,17.12004,17.12004,17.12004,17.12004,000,14.25199
2016-02-05,17.70,17.87004,17.00004,17.12004,3010900,14.25199
2016-02-04,17.67,18.02004,17.52,17.64,2922200,14.68484
2016-02-03,17.55,17.69004,17.04,17.40,2909000,14.48505
2016-02-02,18.21,18.24,17.30004,17.30004,2339200,14.40184
2016-02-01,18.42,18.60,18.20004,18.39,2643300,15.3092
2016-01-29,18.30,18.87996,18.17004,18.63996,3500500,15.51729
2016-01-28,17.70,18.11004,17.25996,18.11004,1778700,15.07614
2016-01-27,17.19,18.15,17.19,17.81004,3570100,14.8264
2016-01-26,17.37996,17.64,17.16996,17.30004,2343800,14.40184
2016-01-25,17.72004,17.72004,17.72004,17.72004,000,14.75148
2016-01-22,17.79996,18.00,17.61996,17.72004,2925700,14.75148
2016-01-21,17.58,17.75004,17.27004,17.64,2220300,14.68484
2016-01-20,18.29004,18.29004,17.64,17.70,2321200,14.73479
2016-01-19,18.77004,18.93996,18.23004,18.39,2445900,15.3092
2016-01-18,18.11004,18.75,18.02004,18.60,1206700,15.48402
2016-01-15,18.30,18.32004,17.91996,18.06,3006700,15.03448
2016-01-14,18.27996,18.63996,18.23004,18.41004,2575000,15.32588
2016-01-13,18.30,18.42,18.06996,18.09996,3743200,15.06775
2016-01-12,18.60,18.74004,18.09996,18.09996,1779700,15.06775
2016-01-11,18.36996,18.84,18.12,18.45996,2181100,15.36744
